# timestamp(s) x y z q_x q_y q_z q_w
0.755 24.44 10.8743 7.08774 -0.110185 0.0597617 0.986 -0.109967
0.7575 24.4363 10.8934 7.07075 -0.110458 0.0595151 0.985941 -0.11035
0.76 24.4326 10.9125 7.05364 -0.11073 0.059268 0.985882 -0.110733
0.7625 24.4289 10.9316 7.0364 -0.111002 0.0590203 0.985824 -0.111117
0.765 24.4252 10.9506 7.01904 -0.111272 0.058772 0.985765 -0.111501
0.7675 24.4214 10.9697 7.00155 -0.111541 0.0585232 0.985706 -0.111885
0.77 24.4177 10.9888 6.98394 -0.11181 0.0582738 0.985646 -0.112269
0.7725 24.4139 11.0078 6.9662 -0.112078 0.0580239 0.985587 -0.112653
0.775 24.4101 11.0269 6.94834 -0.112345 0.0577734 0.985527 -0.113037
0.7775 24.4063 11.0459 6.93037 -0.112611 0.0575223 0.985467 -0.113421
0.78 24.4025 11.065 6.91227 -0.112876 0.0572707 0.985407 -0.113806
0.7825 24.3987 11.084 6.89406 -0.11314 0.0570186 0.985347 -0.114191
0.785 24.3949 11.1031 6.87573 -0.113404 0.0567659 0.985287 -0.114576
0.7875 24.391 11.1221 6.85728 -0.113666 0.0565126 0.985226 -0.114961
