# timestamp(s) x y z q_x q_y q_z q_w
0.6725 24.5531 10.2619 7.57553 -0.101058 0.0674523 0.987803 -0.0977819
0.675 24.5498 10.2811 7.56322 -0.101358 0.0672255 0.98775 -0.0981602
0.6775 24.5465 10.3003 7.55075 -0.101657 0.066998 0.987698 -0.0985386
0.68 24.5431 10.3195 7.53812 -0.101956 0.0667699 0.987645 -0.0989171
0.6825 24.5398 10.3387 7.52533 -0.102253 0.0665411 0.987591 -0.0992958
0.685 24.5365 10.3579 7.5124 -0.10255 0.0663117 0.987538 -0.0996747
0.6875 24.5331 10.377 7.4993 -0.102846 0.0660817 0.987485 -0.100054
0.69 24.5297 10.3962 7.48606 -0.103141 0.065851 0.987431 -0.100433
0.6925 24.5263 10.4154 7.47266 -0.103435 0.0656198 0.987377 -0.100812
0.695 24.5229 10.4345 7.45911 -0.103728 0.0653879 0.987323 -0.101192
0.6975 24.5195 10.4537 7.44541 -0.104021 0.0651553 0.987269 -0.101571
0.7 24.5161 10.4729 7.43155 -0.104313 0.0649222 0.987214 -0.101951
0.7025 24.5127 10.492 7.41755 -0.104604 0.0646884 0.98716 -0.102331
0.705 24.5092 10.5112 7.4034 -0.104894 0.064454 0.987105 -0.102711
0.7075 24.5058 10.5303 7.38911 -0.105184 0.064219 0.98705 -0.103091
0.71 24.5023 10.5495 7.37466 -0.105472 0.0639834 0.986995 -0.103472
0.7125 24.4988 10.5686 7.36007 -0.10576 0.0637472 0.986939 -0.103852
0.715 24.4954 10.5878 7.34534 -0.106047 0.0635104 0.986884 -0.104233
0.7175 24.4919 10.6069 7.33046 -0.106333 0.0632729 0.986828 -0.104614
0.72 24.4883 10.6261 7.31544 -0.106618 0.0630349 0.986772 -0.104995
0.7225 24.4848 10.6452 7.30028 -0.106903 0.0627962 0.986716 -0.105376
0.725 24.4813 10.6643 7.28497 -0.107186 0.062557 0.98666 -0.105758
0.7275 24.4777 10.6834 7.26953 -0.107469 0.0623172 0.986604 -0.106139
0.73 24.4742 10.7026 7.25394 -0.107751 0.0620767 0.986547 -0.106521
0.7325 24.4706 10.7217 7.23822 -0.108032 0.0618357 0.98649 -0.106902
0.735 24.467 10.7408 7.22236 -0.108312 0.0615941 0.986433 -0.107284
0.7375 24.4634 10.7599 7.20636 -0.108591 0.0613519 0.986376 -0.107667
0.74 24.4598 10.779 7.19023 -0.10887 0.0611091 0.986319 -0.108049
0.7425 24.4562 10.7981 7.17397 -0.109148 0.0608657 0.986261 -0.108431
0.745 24.4525 10.8172 7.15757 -0.109425 0.0606218 0.986204 -0.108814
0.7475 24.4489 10.8363 7.14103 -0.1097 0.0603772 0.986146 -0.109197
0.75 24.4452 10.8554 7.12437 -0.109976 0.0601321 0.986088 -0.109579
0.7525 24.4416 10.8745 7.10758 -0.11025 0.0598864 0.98603 -0.109963
0.755 24.4379 10.8936 7.09066 -0.110523 0.0596402 0.985972 -0.110346
0.7575 24.4342 10.9127 7.0736 -0.110796 0.0593934 0.985913 -0.110729
0.76 24.4305 10.9317 7.05643 -0.111067 0.059146 0.985854 -0.111113
0.7625 24.4268 10.9508 7.03912 -0.111338 0.058898 0.985795 -0.111496
0.765 24.423 10.9699 7.02169 -0.111608 0.0586495 0.985736 -0.11188
0.7675 24.4193 10.989 7.00414 -0.111877 0.0584004 0.985677 -0.112264
0.77 24.4155 11.008 6.98646 -0.112145 0.0581507 0.985618 -0.112648
0.7725 24.4118 11.0271 6.96866 -0.112413 0.0579005 0.985558 -0.113033
0.775 24.408 11.0461 6.95074 -0.112679 0.0576498 0.985498 -0.113417
0.7775 24.4042 11.0652 6.9327 -0.112945 0.0573985 0.985438 -0.113802
0.78 24.4004 11.0842 6.91455 -0.113209 0.0571466 0.985378 -0.114186
0.7825 24.3966 11.1033 6.89627 -0.113473 0.0568942 0.985318 -0.114571
0.785 24.3928 11.1223 6.87788 -0.113736 0.0566412 0.985258 -0.114956
0.7875 24.3889 11.1414 6.85937 -0.113998 0.0563877 0.985197 -0.115342
